state,aqi,density
Pulau Pinang,52.43,0.037478179248177
Pulau Pinang,53.03,0.0386780476665853
Pulau Pinang,53.62,0.0386182830709616
Pulau Pinang,54.22,0.0377416220443525
Pulau Pinang,54.82,0.0364605070924226
Pulau Pinang,55.42,0.0350310932283122
Pulau Pinang,56.02,0.0335454720912962
Pulau Pinang,56.61,0.0319829591852367
Pulau Pinang,57.21,0.0302809354196053
Pulau Pinang,57.81,0.0284018316758789
Pulau Pinang,58.41,0.0263758995678786
Pulau Pinang,59.01,0.0243015761033803
Pulau Pinang,59.6,0.0223029536099051
Pulau Pinang,60.2,0.0204751360456439
Pulau Pinang,60.8,0.0188564996361429
Pulau Pinang,61.4,0.0174357374919711
Pulau Pinang,61.99,0.0161711421698707
Pulau Pinang,62.59,0.0150064526668765
Pulau Pinang,63.19,0.0138893828513196
Pulau Pinang,63.79,0.0127951015290843
Pulau Pinang,64.39,0.0117364730976071
Pulau Pinang,64.98,0.0107462081086313
Pulau Pinang,65.58,0.0098445051624445
Pulau Pinang,66.18,0.0090212948235103
Pulau Pinang,66.78,0.0082471005285332
Pulau Pinang,67.38,0.0075002280312116
Pulau Pinang,67.97,0.0067855404509977
Pulau Pinang,68.57,0.0061294554590409
Pulau Pinang,69.17,0.0055572217477392
Pulau Pinang,69.77,0.0050731785043162
Pulau Pinang,70.37,0.0046597532163975
Pulau Pinang,70.96,0.0042925292599332
Pulau Pinang,71.56,0.0039561403119834
Pulau Pinang,72.16,0.0036492186406541
Pulau Pinang,72.76,0.00337783106131
Pulau Pinang,73.36,0.0031446355295519
Pulau Pinang,73.95,0.0029425891741963
Pulau Pinang,74.55,0.0027574610695585
Pulau Pinang,75.15,0.0025755833240928
Pulau Pinang,75.75,0.0023902038192409
Pulau Pinang,76.35,0.0022034187399198
Pulau Pinang,76.94,0.0020239686734228
Pulau Pinang,77.54,0.0018619634827412
Pulau Pinang,78.14,0.0017231991896647
Pulau Pinang,78.74,0.0016065376497147
Pulau Pinang,79.34,0.0015053566794734
Pulau Pinang,79.93,0.0014115105131492
Pulau Pinang,80.53,0.0013196359582622
Pulau Pinang,81.13,0.0012293906330799
Pulau Pinang,81.73,0.0011439233303466
Pulau Pinang,82.33,0.0010657501702139
Pulau Pinang,82.92,0.0009935450167843
Pulau Pinang,83.52,0.0009224564329159
Pulau Pinang,84.12,0.0008476770923597
Pulau Pinang,84.72,0.0007685875210567
Pulau Pinang,85.32,0.0006901132071775
Pulau Pinang,85.91,0.0006196479911817
Pulau Pinang,86.51,0.0005616324875666
Pulau Pinang,87.11,0.0005145479859072
Pulau Pinang,87.71,0.0004731159686085
Pulau Pinang,88.31,0.0004332483328656
Pulau Pinang,88.9,0.0003947773397427
Pulau Pinang,89.5,0.0003600592557181
Pulau Pinang,90.1,0.0003310172384701
Pulau Pinang,90.7,0.0003078062674092
Pulau Pinang,91.3,0.0002894991222156
Pulau Pinang,91.89,0.0002752645138436
Pulau Pinang,92.49,0.0002649048943795
Pulau Pinang,93.09,0.0002584905391206
Pulau Pinang,93.69,0.0002553697646826
Pulau Pinang,94.29,0.0002535784825312
Pulau Pinang,94.88,0.0002508557541968
Pulau Pinang,95.48,0.0002469201442592
Pulau Pinang,96.08,0.0002444927855628
Pulau Pinang,96.68,0.0002467978782408
Pulau Pinang,97.28,0.0002530595308236
Pulau Pinang,97.87,0.000256994520985
Pulau Pinang,98.47,0.0002510131140705
Pulau Pinang,99.07,0.0002322698126172
Pulau Pinang,99.67,0.0002045045535907
Pulau Pinang,100.27,0.0001748205964365
Pulau Pinang,100.86,0.0001494703428509
Pulau Pinang,101.46,0.0001316245643881
Pulau Pinang,102.06,0.0001209734762181
Pulau Pinang,102.66,0.0001146313690263
Pulau Pinang,103.26,0.0001093903917224
Pulau Pinang,103.85,0.0001040201266774
Pulau Pinang,104.45,9.93528106535434e-05
Pulau Pinang,105.05,9.620665063567616e-05
Pulau Pinang,105.65,9.38615565567754e-05
Pulau Pinang,106.25,9.07904512657536e-05
Pulau Pinang,106.84,8.639409497234498e-05
Pulau Pinang,107.44,8.164517575730766e-05
Pulau Pinang,108.04,7.8155014434897e-05
Pulau Pinang,108.64,7.678459256476389e-05
Pulau Pinang,109.24,7.703947641491731e-05
Pulau Pinang,109.83,7.752768142336488e-05
Pulau Pinang,110.43,7.688333636797082e-05
Pulau Pinang,111.03,7.446080776662617e-05
Pulau Pinang,111.63,7.054678044021938e-05
Pulau Pinang,112.23,6.61839496064076e-05
Pulau Pinang,112.82,6.272536119602214e-05
Pulau Pinang,113.42,6.120818628700464e-05
Pulau Pinang,114.02,6.174667818763554e-05
Pulau Pinang,114.62,6.327525027206759e-05
Pulau Pinang,115.22,6.396241953922021e-05
Pulau Pinang,115.81,6.232692489419063e-05
Pulau Pinang,116.41,5.840487934959131e-05
Pulau Pinang,117.01,5.382513409635389e-05
Pulau Pinang,117.61,5.042411283068647e-05
Pulau Pinang,118.21,4.859383976049872e-05
Pulau Pinang,118.8,4.688565856018122e-05
Pulau Pinang,119.4,4.31169030028093e-05
Pulau Pinang,120.0,3.604676444742568e-05
Pahang,1.0,9.604119059651235e-06
Pahang,1.6,1.4774307131731058e-05
Pahang,2.2,2.236585420656965e-05
Pahang,2.79,3.464249414868453e-05
Pahang,3.39,5.4775535431980135e-05
Pahang,3.99,8.595095961275759e-05
Pahang,4.59,0.0001313053719095
Pahang,5.19,0.0001959141148002
Pahang,5.78,0.0002892830462138
Pahang,6.38,0.0004238863484893
Pahang,6.98,0.0006078078616908
Pahang,7.58,0.0008380183413835
Pahang,8.18,0.0011042997268284
Pahang,8.77,0.001402879513412
Pahang,9.37,0.0017453818381954
Pahang,9.97,0.0021531734601106
Pahang,10.57,0.0026452388988262
Pahang,11.17,0.0032341058980144
Pahang,11.76,0.0039298276106123
Pahang,12.36,0.0047367240068729
Pahang,12.96,0.0056360785603384
Pahang,13.56,0.0065750627409606
Pahang,14.16,0.0074881862692491
Pahang,14.75,0.0083406547338867
Pahang,15.35,0.0091489664797339
Pahang,15.95,0.0099582488980891
Pahang,16.55,0.0108063373194249
Pahang,17.15,0.0117077534986614
Pahang,17.74,0.0126526458659581
Pahang,18.34,0.0136046949924447
Pahang,18.94,0.0145081578891127
Pahang,19.54,0.0153175153062317
Pahang,20.14,0.0160277988691086
Pahang,20.73,0.0166728823470839
Pahang,21.33,0.0172984102588161
Pahang,21.93,0.0179430215488489
Pahang,22.53,0.0186364334898772
Pahang,23.13,0.0193917048857307
Pahang,23.72,0.020181762344907
Pahang,24.32,0.0209282134397694
Pahang,24.92,0.0215350027441311
Pahang,25.52,0.0219509632111813
Pahang,26.12,0.0222011947736164
Pahang,26.71,0.0223552606025873
Pahang,27.31,0.0224715687852563
Pahang,27.91,0.0225755137218102
Pahang,28.51,0.022675561576692
Pahang,29.11,0.0227776010692654
Pahang,29.7,0.0228758262979783
Pahang,30.3,0.0229408893100142
Pahang,30.9,0.0229337348439915
Pahang,31.5,0.0228388545191835
