date,station,aqi,lat,lon,state,country
2020-08-01,Alor Setar,56.84,6.137244,100.346815,Kedah,Malaysia
2020-09-01,Alor Setar,45.51,6.137244,100.346815,Kedah,Malaysia
2020-10-01,Alor Setar,31.14,6.137244,100.346815,Kedah,Malaysia
2020-11-01,Alor Setar,35.92,6.137244,100.346815,Kedah,Malaysia
2020-12-01,Alor Setar,41.4,6.137244,100.346815,Kedah,Malaysia
2021-01-01,Alor Setar,50.44,6.137244,100.346815,Kedah,Malaysia
2021-02-01,Alor Setar,57.79,6.137244,100.346815,Kedah,Malaysia
2021-03-01,Alor Setar,51.55,6.137244,100.346815,Kedah,Malaysia
2021-04-01,Alor Setar,39.99,6.137244,100.346815,Kedah,Malaysia
2021-05-01,Alor Setar,36.99,6.137244,100.346815,Kedah,Malaysia
2021-06-01,Alor Setar,43.44,6.137244,100.346815,Kedah,Malaysia
2021-07-01,Alor Setar,45.49,6.137244,100.346815,Kedah,Malaysia
2021-08-01,Alor Setar,34.61,6.137244,100.346815,Kedah,Malaysia
2021-09-01,Alor Setar,46.69,6.137244,100.346815,Kedah,Malaysia
2021-10-01,Alor Setar,40.37,6.137244,100.346815,Kedah,Malaysia
2021-11-01,Alor Setar,26.02,6.137244,100.346815,Kedah,Malaysia
2021-12-01,Alor Setar,45.25,6.137244,100.346815,Kedah,Malaysia
2022-01-01,Alor Setar,50.7,6.137244,100.346815,Kedah,Malaysia
2022-02-01,Alor Setar,42.47,6.137244,100.346815,Kedah,Malaysia
2022-03-01,Alor Setar,42.4,6.137244,100.346815,Kedah,Malaysia
2022-04-01,Alor Setar,44.81,6.137244,100.346815,Kedah,Malaysia
2022-05-01,Alor Setar,41.06,6.137244,100.346815,Kedah,Malaysia
2017-04-01,Balik Pulau,24.19,5.337598,100.214721,Pulau Pinang,Malaysia
2017-05-01,Balik Pulau,22.21,5.337598,100.214721,Pulau Pinang,Malaysia
2017-06-01,Balik Pulau,23.79,5.337598,100.214721,Pulau Pinang,Malaysia
2017-07-01,Balik Pulau,25.62,5.337598,100.214721,Pulau Pinang,Malaysia
2017-08-01,Balik Pulau,21.97,5.337598,100.214721,Pulau Pinang,Malaysia
2017-09-01,Balik Pulau,18.77,5.337598,100.214721,Pulau Pinang,Malaysia
2017-10-01,Balik Pulau,18.57,5.337598,100.214721,Pulau Pinang,Malaysia
2017-11-01,Balik Pulau,19.15,5.337598,100.214721,Pulau Pinang,Malaysia
2017-12-01,Balik Pulau,26.15,5.337598,100.214721,Pulau Pinang,Malaysia
2018-01-01,Balik Pulau,21.88,5.337598,100.214721,Pulau Pinang,Malaysia
2018-02-01,Balik Pulau,33.01,5.337598,100.214721,Pulau Pinang,Malaysia
2018-03-01,Balik Pulau,25.58,5.337598,100.214721,Pulau Pinang,Malaysia
2018-04-01,Balik Pulau,25.66,5.337598,100.214721,Pulau Pinang,Malaysia
2018-05-01,Balik Pulau,22.92,5.337598,100.214721,Pulau Pinang,Malaysia
2018-06-01,Balik Pulau,25.47,5.337598,100.214721,Pulau Pinang,Malaysia
2018-07-01,Balik Pulau,29.38,5.337598,100.214721,Pulau Pinang,Malaysia
2018-08-01,Balik Pulau,44.58,5.337598,100.214721,Pulau Pinang,Malaysia
2018-09-01,Balik Pulau,42.61,5.337598,100.214721,Pulau Pinang,Malaysia
2018-10-01,Balik Pulau,34.1,5.337598,100.214721,Pulau Pinang,Malaysia
2018-11-01,Balik Pulau,44.02,5.337598,100.214721,Pulau Pinang,Malaysia
2018-12-01,Balik Pulau,39.66,5.337598,100.214721,Pulau Pinang,Malaysia
2019-01-01,Balik Pulau,49.13,5.337598,100.214721,Pulau Pinang,Malaysia
2019-02-01,Balik Pulau,55.92,5.337598,100.214721,Pulau Pinang,Malaysia
2019-03-01,Balik Pulau,61.45,5.337598,100.214721,Pulau Pinang,Malaysia
2019-04-01,Balik Pulau,54.15,5.337598,100.214721,Pulau Pinang,Malaysia
2019-05-01,Balik Pulau,44.28,5.337598,100.214721,Pulau Pinang,Malaysia
2019-06-01,Balik Pulau,53.67,5.337598,100.214721,Pulau Pinang,Malaysia
2019-07-01,Balik Pulau,62.7,5.337598,100.214721,Pulau Pinang,Malaysia
2019-08-01,Balik Pulau,64.46,5.337598,100.214721,Pulau Pinang,Malaysia
2019-09-01,Balik Pulau,88.0,5.337598,100.214721,Pulau Pinang,Malaysia
2019-10-01,Balik Pulau,47.77,5.337598,100.214721,Pulau Pinang,Malaysia
2019-11-01,Balik Pulau,44.79,5.337598,100.214721,Pulau Pinang,Malaysia
2019-12-01,Balik Pulau,53.41,5.337598,100.214721,Pulau Pinang,Malaysia
2020-01-01,Balik Pulau,56.62,5.337598,100.214721,Pulau Pinang,Malaysia
2020-02-01,Balik Pulau,51.99,5.337598,100.214721,Pulau Pinang,Malaysia
2020-03-01,Balik Pulau,59.08,5.337598,100.214721,Pulau Pinang,Malaysia
2020-04-01,Balik Pulau,47.29,5.337598,100.214721,Pulau Pinang,Malaysia
2020-05-01,Balik Pulau,43.6,5.337598,100.214721,Pulau Pinang,Malaysia
2020-06-01,Balik Pulau,51.58,5.337598,100.214721,Pulau Pinang,Malaysia
2020-07-01,Balik Pulau,53.63,5.337598,100.214721,Pulau Pinang,Malaysia
2020-08-01,Balik Pulau,66.24,5.337598,100.214721,Pulau Pinang,Malaysia
2020-09-01,Balik Pulau,47.06,5.337598,100.214721,Pulau Pinang,Malaysia
2020-10-01,Balik Pulau,41.77,5.337598,100.214721,Pulau Pinang,Malaysia
2020-11-01,Balik Pulau,43.08,5.337598,100.214721,Pulau Pinang,Malaysia
2020-12-01,Balik Pulau,48.78,5.337598,100.214721,Pulau Pinang,Malaysia
2021-01-01,Balik Pulau,54.73,5.337598,100.214721,Pulau Pinang,Malaysia
2021-02-01,Balik Pulau,63.6,5.337598,100.214721,Pulau Pinang,Malaysia
2021-03-01,Balik Pulau,56.48,5.337598,100.214721,Pulau Pinang,Malaysia
2021-04-01,Balik Pulau,42.66,5.337598,100.214721,Pulau Pinang,Malaysia
2021-05-01,Balik Pulau,44.84,5.337598,100.214721,Pulau Pinang,Malaysia
2021-06-01,Balik Pulau,51.15,5.337598,100.214721,Pulau Pinang,Malaysia
2021-07-01,Balik Pulau,54.45,5.337598,100.214721,Pulau Pinang,Malaysia
2021-08-01,Balik Pulau,38.52,5.337598,100.214721,Pulau Pinang,Malaysia
2021-09-01,Balik Pulau,38.6,5.337598,100.214721,Pulau Pinang,Malaysia
2021-10-01,Balik Pulau,42.17,5.337598,100.214721,Pulau Pinang,Malaysia
2021-11-01,Balik Pulau,30.88,5.337598,100.214721,Pulau Pinang,Malaysia
2021-12-01,Balik Pulau,44.93,5.337598,100.214721,Pulau Pinang,Malaysia
2022-01-01,Balik Pulau,54.56,5.337598,100.214721,Pulau Pinang,Malaysia
2022-02-01,Balik Pulau,49.39,5.337598,100.214721,Pulau Pinang,Malaysia
2022-03-01,Balik Pulau,47.11,5.337598,100.214721,Pulau Pinang,Malaysia
2022-04-01,Balik Pulau,46.82,5.337598,100.214721,Pulau Pinang,Malaysia
2022-05-01,Balik Pulau,47.97,5.337598,100.214721,Pulau Pinang,Malaysia
2005-10-01,Balok Baru Kuantan,52.24,3.96,103.38,Pahang,Malaysia
2005-11-01,Balok Baru Kuantan,46.98,3.96,103.38,Pahang,Malaysia
2005-12-01,Balok Baru Kuantan,47.65,3.96,103.38,Pahang,Malaysia
2006-01-01,Balok Baru Kuantan,50.38,3.96,103.38,Pahang,Malaysia
2006-02-01,Balok Baru Kuantan,48.45,3.96,103.38,Pahang,Malaysia
2006-03-01,Balok Baru Kuantan,54.58,3.96,103.38,Pahang,Malaysia
2006-04-01,Balok Baru Kuantan,49.95,3.96,103.38,Pahang,Malaysia
2006-05-01,Balok Baru Kuantan,50.95,3.96,103.38,Pahang,Malaysia
2006-06-01,Balok Baru Kuantan,48.7,3.96,103.38,Pahang,Malaysia
2006-07-01,Balok Baru Kuantan,51.4,3.96,103.38,Pahang,Malaysia
2006-08-01,Balok Baru Kuantan,58.56,3.96,103.38,Pahang,Malaysia
2006-09-01,Balok Baru Kuantan,57.83,3.96,103.38,Pahang,Malaysia
2006-10-01,Balok Baru Kuantan,71.9,3.96,103.38,Pahang,Malaysia
2006-11-01,Balok Baru Kuantan,55.23,3.96,103.38,Pahang,Malaysia
2006-12-01,Balok Baru Kuantan,54.11,3.96,103.38,Pahang,Malaysia
2007-01-01,Balok Baru Kuantan,50.26,3.96,103.38,Pahang,Malaysia
2007-02-01,Balok Baru Kuantan,52.21,3.96,103.38,Pahang,Malaysia
2007-03-01,Balok Baru Kuantan,47.58,3.96,103.38,Pahang,Malaysia
2007-04-01,Balok Baru Kuantan,45.25,3.96,103.38,Pahang,Malaysia
2007-05-01,Balok Baru Kuantan,41.74,3.96,103.38,Pahang,Malaysia
2007-06-01,Balok Baru Kuantan,47.3,3.96,103.38,Pahang,Malaysia
2007-07-01,Balok Baru Kuantan,53.26,3.96,103.38,Pahang,Malaysia
2007-08-01,Balok Baru Kuantan,53.47,3.96,103.38,Pahang,Malaysia
2007-09-01,Balok Baru Kuantan,53.42,3.96,103.38,Pahang,Malaysia
2007-10-01,Balok Baru Kuantan,51.26,3.96,103.38,Pahang,Malaysia
2007-11-01,Balok Baru Kuantan,58.4,3.96,103.38,Pahang,Malaysia
2007-12-01,Balok Baru Kuantan,61.92,3.96,103.38,Pahang,Malaysia
2008-01-01,Balok Baru Kuantan,62.32,3.96,103.38,Pahang,Malaysia
2008-02-01,Balok Baru Kuantan,66.21,3.96,103.38,Pahang,Malaysia
2008-03-01,Balok Baru Kuantan,60.4,3.96,103.38,Pahang,Malaysia
2008-04-01,Balok Baru Kuantan,57.9,3.96,103.38,Pahang,Malaysia
2008-05-01,Balok Baru Kuantan,58.85,3.96,103.38,Pahang,Malaysia
2008-06-01,Balok Baru Kuantan,57.45,3.96,103.38,Pahang,Malaysia
2008-07-01,Balok Baru Kuantan,55.72,3.96,103.38,Pahang,Malaysia
2008-08-01,Balok Baru Kuantan,56.38,3.96,103.38,Pahang,Malaysia
2008-09-01,Balok Baru Kuantan,55.49,3.96,103.38,Pahang,Malaysia
2008-10-01,Balok Baru Kuantan,56.91,3.96,103.38,Pahang,Malaysia
2008-11-01,Balok Baru Kuantan,58.5,3.96,103.38,Pahang,Malaysia
